Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
1000,1.499999996212864e-06,7.700000026034104e-06,2.1000000174353772e-06
1097,1.3999999737279722e-06,7.600000003549212e-06,2.0500000061929313e-06
1204,1.3999999737279722e-06,1.4799999974002276e-05,2.0000000517939043e-06
1321,1.3000000080864993e-06,7.699999969190685e-06,1.9999999949504854e-06
1450,1.499999996212864e-06,8.299999990413198e-06,2.1000000174353772e-06
1592,1.499999996212864e-06,7.75000000885484e-06,2.1000000174353772e-06
1747,1.3999999737279722e-06,7.700000026034104e-06,1.9999999949504854e-06
1917,1.4000000021496817e-06,7.700000026034104e-06,1.9999999949504854e-06
2104,1.499999996212864e-06,7.500000037907739e-06,1.950000012129749e-06
2310,1.3999999737279722e-06,7.500000037907739e-06,1.9000000293090125e-06
2535,1.499999996212864e-06,7.999999979801942e-06,2.1000000174353772e-06
2782,1.3999999737279722e-06,8.300000018834908e-06,2.19999998307685e-06
3053,2.9500000096049916e-06,8.850000000393266e-06,2.2500000227410055e-06
3351,1.6999999843392288e-06,8.79999998915082e-06,2.200000039920269e-06
3678,1.499999996212864e-06,8.600000001024455e-06,2.1000000174353772e-06
4037,1.499999996212864e-06,8.100000002286833e-06,1.9999999949504854e-06
4430,1.499999996212864e-06,7.699999969190685e-06,1.9000000293090125e-06
4862,1.4000000305713911e-06,7.700000026034104e-06,1.9999999949504854e-06
5336,1.499999996212864e-06,7.700000026034104e-06,1.9999999949504854e-06
5857,1.4000000305713911e-06,7.999999979801942e-06,1.9000000293090125e-06
6428,1.3000000080864993e-06,8.100000002286833e-06,1.9999999949504854e-06
7054,1.3999999737279722e-06,8.40000001289809e-06,2.0999999605919584e-06
7742,1.4500000133921276e-06,8.299999990413198e-06,1.9999999949504854e-06
8497,1.499999996212864e-06,8.299999990413198e-06,2.049999977771222e-06
9326,1.6000000186977559e-06,8.049999991044388e-06,2.0000000517939043e-06
10235,1.4000000305713911e-06,8.100000002286833e-06,1.9999999949504854e-06
11233,1.499999996212864e-06,8.200000024771725e-06,2.000000023372195e-06
12328,1.599999961854337e-06,9.799999986626062e-06,2.399999971203215e-06
13530,1.8000000068241206e-06,9.099999999762076e-06,2.19999998307685e-06
14849,1.9000000293090125e-06,1.1499999970965291e-05,2.400000028046634e-06
16297,1.8000000068241206e-06,9.099999999762076e-06,2.099999989013668e-06
17886,1.499999996212864e-06,9.200000022246968e-06,2.19999998307685e-06
19630,1.7000000411826477e-06,8.899999983214002e-06,2.1000000174353772e-06
21544,1.499999996212864e-06,9.099999999762076e-06,2.1000000174353772e-06
23644,1.6999999843392288e-06,9.099999999762076e-06,2.19999998307685e-06
25950,1.6999999843392288e-06,8.79999998915082e-06,2.1000000174353772e-06
28480,1.6000000186977559e-06,9.649999981320434e-06,2.19999998307685e-06
31257,1.6999999843392288e-06,3.350000000068576e-05,9.750000003805326e-06
34304,6.399999961104186e-06,2.070000002163397e-05,3.6000000136482413e-06
37649,2.4500000108673703e-06,1.5299999972739897e-05,3.3000000030369847e-06
41320,2.8000000042993634e-06,1.550000001770968e-05,3.899999967416079e-06
45348,2.8000000042993634e-06,1.550000001770968e-05,3.2000000373955118e-06
49770,2.399999971203215e-06,1.6399999992700032e-05,3.3000000030369847e-06
54622,2.5999999593295797e-06,3.370000001723383e-05,2.900000026784255e-06
59948,2.2000000114985596e-06,1.3949999981832661e-05,2.9500000096049916e-06
65793,2.300000005561742e-06,1.1400000005323818e-05,2.6000000161729986e-06
72208,1.8999999724655936e-06,1.0650000007217386e-05,2.400000028046634e-06
79248,1.8000000068241206e-06,1.020000001972221e-05,2.4999999936881068e-06
86974,2.399999971203215e-06,1.0700000018459832e-05,2.19999998307685e-06
95454,1.8000000068241206e-06,1.0099999997237319e-05,2.19999998307685e-06
104761,1.8999999724655936e-06,1.0099999997237319e-05,2.2500000227410055e-06
114975,1.900000000887303e-06,1.034999999660613e-05,2.19999998307685e-06
126185,1.8000000068241206e-06,1.0299999985363684e-05,2.1000000174353772e-06
138488,1.8499999896448571e-06,1.020000001972221e-05,2.300000005561742e-06
151991,1.9000000293090125e-06,1.0299999985363684e-05,2.1000000174353772e-06
166810,1.8499999896448571e-06,1.0650000007217386e-05,2.300000005561742e-06
183073,1.8999999724655936e-06,1.059999999597494e-05,2.200000039920269e-06
200923,1.8000000068241206e-06,1.0800000012523014e-05,2.300000005561742e-06
220513,1.9999999949504854e-06,1.0900000006586197e-05,2.200000039920269e-06
242012,1.9999999949504854e-06,1.0699999961616413e-05,2.200000039920269e-06
265608,1.950000012129749e-06,1.0949999989406933e-05,2.300000005561742e-06
291505,1.9999999949504854e-06,1.0799999984101305e-05,2.300000005561742e-06
319926,1.7999999499807018e-06,1.099999997222767e-05,2.300000005561742e-06
351119,1.9000000293090125e-06,1.0849999966922041e-05,2.300000005561742e-06
385352,2.399999971203215e-06,2.0500000005085894e-05,2.6999999818144715e-06
