Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
1000,1.0590010788291693e-06,2.5015033315867186e-06,6.755035428795964e-07
1097,4.924986569676548e-07,2.1784981072414666e-06,7.805028872098774e-07
1204,6.904992915224284e-07,2.254000719403848e-06,7.439994078595191e-07
1321,4.940011422149837e-07,2.329998096683994e-06,8.209972293116152e-07
1450,5.004985723644495e-07,2.3470020096283406e-06,7.685011951252818e-07
1592,5.894980859011412e-07,2.3305001377593726e-06,8.17497493699193e-07
1747,5.084984877612442e-07,2.568001946201548e-06,8.875031198840588e-07
1917,5.369984137360007e-07,2.4014989321585745e-06,8.930001058615744e-07
2104,5.604997568298131e-07,2.5170011213049293e-06,8.41497239889577e-07
2310,5.86001988267526e-07,2.598499122541398e-06,9.184950613416731e-07
2535,6.940026651136577e-07,2.6835004973690957e-06,9.105024219024926e-07
2782,6.539994501508772e-07,2.613502147141844e-06,9.085015335585922e-07
3053,6.520021997857839e-07,2.697997842915356e-06,9.479990694671869e-07
3351,6.574991857632995e-07,2.8065005608368665e-06,9.6200528787449e-07
3678,6.685004336759448e-07,2.6264970074407756e-06,9.370014595333487e-07
4037,6.800000846851617e-07,2.80949825537391e-06,9.350005711894482e-07
4430,7.070011633913964e-07,2.7964997570961714e-06,9.374962246511132e-07
4862,6.759983079973608e-07,2.764994860626757e-06,9.239993232768029e-07
5336,6.690024747513235e-07,2.870503521990031e-06,9.299983503296971e-07
5857,7.154994818847626e-07,2.9099974199198186e-06,1.007501850835979e-06
6428,6.985028448980302e-07,2.7394999051466584e-06,9.110008249990642e-07
7054,7.475027814507484e-07,2.72750185104087e-06,9.095019777305424e-07
7742,6.955015123821795e-07,2.8030008252244443e-06,1.0069998097606003e-06
8497,6.574991857632995e-07,2.8345020837150514e-06,9.95998561847955e-07
9326,7.654962246306241e-07,2.886998117901385e-06,9.840005077421665e-07
10235,7.324997568503022e-07,2.8480026230681688e-06,9.204995876643807e-07
11233,7.359994924627244e-07,2.8419963200576603e-06,9.639989002607763e-07
12328,7.499984349124134e-07,2.9139991966076195e-06,1.08100357465446e-06
13530,6.989976100157946e-07,2.889501047320664e-06,1.0990042937919497e-06
14849,7.340022420976311e-07,3.183999069733545e-06,1.0114999895449728e-06
16297,7.244998414535075e-07,3.0105002224445343e-06,9.944997145794332e-07
17886,7.304988685064018e-07,3.2315001590177417e-06,1.1920019460376352e-06
19630,8.134957170113921e-07,3.0190021789167076e-06,1.1120027920696884e-06
21544,7.939997885841876e-07,3.206998371751979e-06,9.440009307581931e-07
23644,8.509996405337006e-07,3.2079988159239292e-06,1.1055017239414155e-06
25950,8.105016604531556e-07,3.263998223701492e-06,1.0225012374576181e-06
28480,7.894996087998152e-07,3.209497663192451e-06,1.1035008355975151e-06
31257,7.969974831212312e-07,3.636003384599462e-06,1.1650008673314005e-06
34304,8.774986781645566e-07,3.395496605662629e-06,1.1209995136596262e-06
37649,8.665010682307184e-07,3.2999996619764715e-06,1.222495484398678e-06
41320,9.270006557926536e-07,3.498000296531245e-06,1.1955016816500574e-06
45348,7.300041033886373e-07,3.1784984457772225e-06,1.0170006135012954e-06
49770,8.264978532679379e-07,3.3774995245039463e-06,1.343003532383591e-06
54622,8.854985935613513e-07,3.4215008781757206e-06,1.1039992386940867e-06
59948,9.230025170836598e-07,3.4340009733568877e-06,1.1734991858247668e-06
65793,9.0500179794617e-07,3.5189950722269714e-06,1.1210031516384333e-06
72208,9.204995876643807e-07,3.508503141347319e-06,1.3159988156985492e-06
79248,9.734976629260927e-07,3.689499862957746e-06,1.3020035112276673e-06
86974,9.755021892488003e-07,3.841501893475652e-06,1.2634955055546016e-06
95454,1.0229996405541897e-06,3.832501533906907e-06,1.1180018191225827e-06
104761,9.284995030611753e-07,3.935499989893287e-06,1.1765005183406174e-06
114975,1.0699986887630075e-06,3.953002305934206e-06,1.2379969120956957e-06
126185,9.784962458070368e-07,4.0355007513426244e-06,1.255499228136614e-06
138488,1.050502760335803e-06,4.0289996832143515e-06,1.2095006240997463e-06
151991,1.0309995559509844e-06,4.227498720865697e-06,1.2575037544593215e-06
