Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
1000,5.004994818591513e-07,2.240499270556029e-06,8.239994713221677e-07
1097,5.849997251061723e-07,2.1585001377388835e-06,9.440000212634914e-07
1204,6.359996405080892e-07,2.254000719403848e-06,8.630004231235944e-07
1321,5.664996933774091e-07,2.3940001483424567e-06,9.260002116207033e-07
1450,6.609998308704235e-07,2.3664997570449486e-06,8.805009201751091e-07
1592,5.925003279116936e-07,2.3760003386996686e-06,8.974993761512451e-07
1747,5.900001269765198e-07,2.3765005607856438e-06,8.215001798816957e-07
1917,6.230002327356488e-07,2.2879994503455237e-06,8.625002010376193e-07
2104,6.344998837448657e-07,2.1825007934239693e-06,9.30499481910374e-07
2310,5.630008672596887e-07,2.4379996830248274e-06,8.890001481631771e-07
2535,5.93499862588942e-07,2.415999915683642e-06,8.67499693413265e-07
2782,6.649997885688208e-07,2.5654999262769707e-06,8.835004337015562e-07
3053,5.590009095612913e-07,2.617499376356136e-06,9.030000001075678e-07
3351,7.104999895091169e-07,2.6334992071497254e-06,9.880004654405639e-07
3678,7.164999260567129e-07,2.702000529097859e-06,9.630002750782296e-07
4037,7.774997357046232e-07,2.6400002752779983e-06,1.0085004760185257e-06
4430,7.710013960604556e-07,2.7814994609798305e-06,1.0219991963822395e-06
4862,7.599992386531085e-07,2.792499799397774e-06,9.85000042419415e-07
5336,7.520002327510156e-07,2.631999450386502e-06,1.0189996828557923e-06
5857,7.260005077114329e-07,2.6349998734076507e-06,9.43500708672218e-07
6428,6.795007720938884e-07,2.476000190654304e-06,9.73000169324223e-07
7054,6.705004125251435e-07,2.7504993340699002e-06,1.048500053002499e-06
7742,8.07500327937305e-07,2.648000190674793e-06,1.036500179907307e-06
8497,8.320002962136641e-07,2.8390004445100203e-06,1.0274998203385621e-06
9326,8.029992386582308e-07,2.8125004973844625e-06,1.0260000635753386e-06
10235,7.114995241863653e-07,2.6919997253571637e-06,9.79000105871819e-07
11233,7.64999640523456e-07,3.0074997994233854e-06,1.0220001058769412e-06
12328,9.114992280956358e-07,3.0679993869853206e-06,1.09350003185682e-06
13530,8.094993972918019e-07,2.945499545603525e-06,1.0714993550209329e-06
14849,7.920007192296907e-07,3.1544996090815403e-06,1.0945004760287702e-06
16297,7.70999577071052e-07,2.8995000320719555e-06,1.1464999261079356e-06
17886,7.885000741225667e-07,3.120499968645163e-06,1.1499996617203578e-06
19630,7.935004759929143e-07,3.087499862886034e-06,1.1259999155299738e-06
21544,8.034994607442059e-07,3.072500476264395e-06,1.1595002433750778e-06
23644,8.745000741328113e-07,3.452500095590949e-06,1.1305000953143463e-06
25950,8.954993973020464e-07,3.051000021514483e-06,1.1835008990601636e-06
28480,8.449997039861046e-07,3.264499355282169e-06,1.14250087790424e-06
31257,9.48499291553162e-07,3.357999048603233e-06,1.2850005077780224e-06
34304,8.200004231184721e-07,3.1560002753394656e-06,1.1655010894173756e-06
37649,9.590003173798323e-07,3.3065007301047444e-06,1.0309995559509844e-06
41320,8.795013854978606e-07,3.29000067722518e-06,1.3094995665596798e-06
45348,9.380000847158954e-07,3.362500137882307e-06,1.215001248056069e-06
49770,8.740007615415379e-07,3.3814994822023436e-06,1.0644998837960884e-06
54622,8.784991223365068e-07,3.5914999898523092e-06,1.1755000741686672e-06
59948,9.854993550106883e-07,3.5984994610771537e-06,1.1880001693498343e-06
65793,9.130008038482629e-07,3.227000888728071e-06,1.1815000107162632e-06
72208,8.569995770812966e-07,3.5390003176871687e-06,1.168499693449121e-06
79248,9.980003596865572e-07,3.4534996302681975e-06,1.174999852082692e-06
86974,9.240002327715047e-07,3.3850001273094676e-06,1.1204992915736511e-06
95454,8.890001481631771e-07,3.4149998100474477e-06,1.2609998520929366e-06
104761,9.369996405439451e-07,3.268500222475268e-06,1.3040007615927607e-06
114975,9.55000359681435e-07,3.5210005080443807e-06,1.1840011211461388e-06
126185,9.824998414842412e-07,3.464500878180843e-06,1.2834998415200971e-06
138488,1.091000740416348e-06,3.8054995457059704e-06,1.229500412591733e-06
151991,1.0385001587565057e-06,4.01050056098029e-06,1.304500074184034e-06
166810,1.0334997568861581e-06,3.5914999898523092e-06,1.34049969346961e-06
183073,9.444993338547647e-07,3.5225002648076043e-06,1.2400005289237015e-06
200923,1.0944995665340684e-06,3.6415003705769777e-06,1.241500285686925e-06
220513,1.099499968404416e-06,3.8109992601675913e-06,1.3664994185091928e-06
242012,9.515006240690127e-07,3.982499947596807e-06,1.341501047136262e-06
265608,9.81999619398266e-07,3.7734998841187917e-06,1.3705011951969936e-06
291505,1.0345002010581084e-06,3.70499947166536e-06,1.2480004443204962e-06
319926,1.1880001693498343e-06,3.8059997677919455e-06,1.2874997992184944e-06
351119,9.695004337118007e-07,3.8820007830508985e-06,1.3475000741891563e-06
385352,1.0549993021413684e-06,3.608499355323147e-06,1.341501047136262e-06
422924,1.0614994607749395e-06,4.058000740769785e-06,1.3785002010990866e-06
464158,1.2255004548933357e-06,3.945999196730554e-06,1.3609997040475719e-06
509413,1.1254996934439987e-06,4.057000296597835e-06,1.3685003068530932e-06
559081,1.0710000424296595e-06,3.879999894706998e-06,1.333999534836039e-06
613590,1.2410009730956517e-06,4.439000804268289e-06,1.4264996934798546e-06
673415,1.2109994713682681e-06,4.366499524621759e-06,1.4529996406054124e-06
739072,1.0920011845882982e-06,4.182000338914804e-06,1.409499418514315e-06
811130,1.1239999366807751e-06,4.1170005715684965e-06,1.3144999684300274e-06
890215,1.0930007192655466e-06,4.000500666734297e-06,1.2895006875623949e-06
977009,1.1004995030816644e-06,3.93250047636684e-06,1.3139988368493505e-06
1072267,1.2310010788496584e-06,4.247000106261112e-06,1.3559993021772243e-06
1176811,1.1199999789823778e-06,4.4150001485832036e-06,1.532999704068061e-06
1291549,1.1670008461805992e-06,4.149000233155675e-06,1.5139994502533227e-06
1417474,1.180499566544313e-06,4.6914992708479986e-06,1.4859997463645414e-06
1555676,1.1759993867599405e-06,4.752499989990611e-06,1.481999788666144e-06
