Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
1000,1.0999999631167157e-06,5.29999999798747e-06,1.6999999843392288e-06
1097,1.1000000199601345e-06,5.400000020472362e-06,1.6000000186977559e-06
1204,1.1999999287581886e-06,8.200000024771725e-06,2.399999971203215e-06
1321,1.3999999737279722e-06,5.500000042957254e-06,1.7999999499807018e-06
1450,1.3000000080864993e-06,5.900000019209983e-06,1.9999999949504854e-06
1592,1.2000000424450263e-06,5.8999999623665644e-06,1.8000000068241206e-06
1747,1.2000000424450263e-06,5.6999999742402e-06,1.6500000015184924e-06
1917,1.1000000768035534e-06,5.6999999742402e-06,1.6999999843392288e-06
2104,1.3000000080864993e-06,5.600000008598727e-06,1.6999999843392288e-06
2310,1.1999999287581886e-06,5.600000008598727e-06,1.8499999896448571e-06
2535,1.2000000424450263e-06,5.749999957060936e-06,1.6000000186977559e-06
2782,1.1999999287581886e-06,5.600000008598727e-06,1.6999999843392288e-06
3053,1.150000002780871e-06,5.900000019209983e-06,1.8000000636675395e-06
3351,1.2000000424450263e-06,5.900000019209983e-06,1.6999999843392288e-06
3678,1.2000000424450263e-06,5.900000019209983e-06,1.6000000186977559e-06
4037,1.500000053056283e-06,6.100000064179767e-06,1.7999999499807018e-06
4430,1.249999968422344e-06,5.80000005356851e-06,1.6999999843392288e-06
4862,1.2999999512430804e-06,6.100000064179767e-06,1.6999999843392288e-06
5336,1.2000000424450263e-06,6.099999950492929e-06,1.6999999843392288e-06
5857,1.3999999737279722e-06,6.700000028558861e-06,1.9000000293090125e-06
6428,1.500000053056283e-06,7.600000003549212e-06,2.0500000346146408e-06
7054,1.6000000186977559e-06,8.299999990413198e-06,2.300000005561742e-06
7742,2.0999999605919584e-06,9.299999987888441e-06,2.6999999818144715e-06
8497,2.0999999605919584e-06,1.0699999961616413e-05,3.000000049269147e-06
9326,2.300000005561742e-06,1.00999999403939e-05,2.7999999474559445e-06
10235,1.9999999949504854e-06,9.70000002098459e-06,2.6000000161729986e-06
11233,1.9999999949504854e-06,9.900000009110954e-06,2.6999999818144715e-06
12328,1.9999999949504854e-06,9.799999986626062e-06,2.6999999818144715e-06
13530,1.6500000015184924e-06,8.399999956054671e-06,2.19999998307685e-06
14849,1.6000000186977559e-06,8.050000019466097e-06,2.19999998307685e-06
16297,1.6000000186977559e-06,8.449999995718827e-06,2.200000039920269e-06
17886,1.6000000186977559e-06,8.200000024771725e-06,2.200000039920269e-06
19630,1.6500000015184924e-06,8.200000024771725e-06,2.19999998307685e-06
21544,1.6999999843392288e-06,8.499999921696144e-06,2.300000005561742e-06
23644,1.6000000186977559e-06,8.750000006330083e-06,2.200000039920269e-06
25950,1.6999999843392288e-06,8.800000045994238e-06,2.200000039920269e-06
28480,1.7999999499807018e-06,8.800000045994238e-06,2.300000005561742e-06
31257,1.6999999843392288e-06,8.600000001024455e-06,2.2499999658975867e-06
34304,2.6999999818144715e-06,1.3500000022759195e-05,3.549999973984086e-06
37649,1.9000000293090125e-06,9.500000032858225e-06,2.5000000505315256e-06
41320,1.7999999499807018e-06,8.800000045994238e-06,2.3499999883824785e-06
45348,1.7999999499807018e-06,9.100000056605495e-06,2.399999971203215e-06
49770,1.8000000068241206e-06,9.099999942918657e-06,2.300000005561742e-06
54622,1.8000000636675395e-06,9.19999990856013e-06,2.4000000848900527e-06
59948,1.7999999499807018e-06,9.200000022246968e-06,2.399999971203215e-06
65793,1.9999999949504854e-06,1.0199999962878792e-05,2.6000000161729986e-06
72208,2.0999999605919584e-06,9.700000077828008e-06,2.399999971203215e-06
79248,2.100000074278796e-06,1.0550000013154204e-05,2.6999999818144715e-06
86974,1.9999999949504854e-06,1.0000000031595846e-05,2.6000000161729986e-06
95454,2.6000000161729986e-06,1.279999997905179e-05,3.199999923708674e-06
104761,6.999999982326699e-06,3.865000002178931e-05,1.0400000007848575e-05
114975,2.6000000161729986e-06,1.3100000046506466e-05,3.2000000373955118e-06
126185,1.9000000293090125e-06,9.799999929782643e-06,2.4000000848900527e-06
138488,1.9999999949504854e-06,1.0699999961616413e-05,2.6999999818144715e-06
151991,1.9999999949504854e-06,9.900000009110954e-06,2.499999936844688e-06
166810,1.9000000293090125e-06,9.849999969446799e-06,2.4000000848900527e-06
183073,2.0999999605919584e-06,1.1199999960354035e-05,2.8000000611427822e-06
